"","USFS.Unit.Number","Plot.ID","X2013.Plot.Tree..","Unique.Tree.ID","X2013.DBH","X2013.FIA.Species.Code","X2013.Height","X2013.Live.Crown.Ratio","X2019.Plot.Tree..","Unique.Tree.ID.1","Dead.","X2019.DBH","X2019.FIA.Species.Code","X2019.Height","X2019.Live.Crown.Ratio","X2021.Plot.Tree..","Unique.Tree.ID.2","Dead..","X2021.DBH","X2021.FIA.Species.Code","X2021.Height","X2021.Live.Crown.Ratio","X2022.Plot.Tree..","Unique.Tree.ID.3","Dead..1","X2022.DBH","X2022.FIA.Species.Code","X2022.Height","X2022.Live.Crown.Ratio","X","Species13","Species19","Species21","Species22"
"954","103","422",NA,"",NA,"",NA,NA,1,1157,"",80,"117",33.9,27.8,1,2345,"",79.8,"117",31,26.2,NA,NA,"","","",NA,NA,NA,"","SP","SP",""
"955","103","422",NA,"",NA,"",NA,NA,2,1158,"",38.5,"122",13.1,7.2,2,2346,"",13,"122",4.6,3.4,NA,NA,"","","",NA,NA,NA,"","PP","PP",""
"956","103","422",NA,"",NA,"",NA,NA,3,1159,"",30.5,"122",9.8,7,3,2347,"",13.2,"117",4.3,3.5,NA,NA,"","","",NA,NA,NA,"","PP","SP",""
"957","103","422",NA,"",NA,"",NA,NA,4,1160,"",12.5,"122",4.6,2.7,4,2348,"",12.1,"117",3.8,2.6,NA,NA,"","","",NA,NA,NA,"","PP","SP",""
"958","103","422",NA,"",NA,"",NA,NA,5,1161,"",13,"117",4.9,3.2,5,2349,"",11.1,"117",3.1,2.5,NA,NA,"","","",NA,NA,NA,"","SP","SP",""
"959","103","422",NA,"",NA,"",NA,NA,6,1162,"",12.5,"117",3.8,2.4,6,2350,"",26,"117",12.4,9.2,NA,NA,"","","",NA,NA,NA,"","SP","SP",""
"960","103","422",NA,"",NA,"",NA,NA,7,1163,"",10,"122",3.1,1.9,7,2351,"",38.1,"117",12,8,NA,NA,"","","",NA,NA,NA,"","PP","SP",""
"961","103","422",NA,"",NA,"",NA,NA,8,1164,"",11.5,"117",3.1,2.2,8,2352,"",30.7,"122",32.7,32.7,NA,NA,"","","",NA,NA,NA,"","SP","PP",""
"962","103","422",NA,"",NA,"",NA,NA,9,1165,"",15,"117",5.7,3.4,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","SP","",""
"963","103","422",NA,"",NA,"",NA,NA,10,1166,"",16,"117",6.2,4.2,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","SP","",""
"964","103","422",NA,"",NA,"",NA,NA,11,1167,"",21.5,"122",8,3.8,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","PP","",""
"965","103","423",NA,"",NA,"",NA,NA,1,1168,"",40.5,"122",18.8,10,1,2353,"",40.1,"122",17.1,10,NA,NA,"","","",NA,NA,NA,"","PP","PP",""
"966","103","423",NA,"",NA,"",NA,NA,2,1169,"",28.5,"122",17.4,12.3,2,2354,"",32.5,"122",13.4,11.8,NA,NA,"","","",NA,NA,NA,"","PP","PP",""
"967","103","423",NA,"",NA,"",NA,NA,3,1170,"",43,"122",19.4,11.7,3,2355,"",27.8,"122",16.2,11.9,NA,NA,"","","",NA,NA,NA,"","PP","PP",""
"968","103","423",NA,"",NA,"",NA,NA,4,1171,"",36,"117",17.1,13.3,4,2356,"",42.3,"122",19.3,12.8,NA,NA,"","","",NA,NA,NA,"","SP","PP",""
"969","103","423",NA,"",NA,"",NA,NA,5,1172,"",32.5,"122",14.8,9.8,5,2357,"",36.8,"117",15.3,12.7,NA,NA,"","","",NA,NA,NA,"","PP","SP",""
"970","103","423",NA,"",NA,"",NA,NA,6,1173,"",17,"818",3.7,2.5,6,2358,"",27.2,"122",10.1,7.6,NA,NA,"","","",NA,NA,NA,"","BO","PP",""
"971","103","423",NA,"",NA,"",NA,NA,7,1174,"",19.5,"117",7.4,5.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","SP","",""
"972","103","423",NA,"",NA,"",NA,NA,8,1175,"",18,"122",8.9,3.4,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","PP","",""
"973","103","423",NA,"",NA,"",NA,NA,9,1176,"",21,"122",7.3,4.5,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","PP","",""
"974","13","442",NA,"",NA,"",NA,NA,1,1177,"",52,"818",8,3.6,1,2359,"",20.8,"818",6.1,3.8,NA,NA,"","","",NA,NA,NA,"","BO","BO",""
"975","13","442",NA,"",NA,"",NA,NA,2,1178,"",28.5,"117",17.1,10,2,2360,"y",41.5,"818",5.9,NA,NA,NA,"","","",NA,NA,NA,"","SP","BO",""
"976","13","442",NA,"",NA,"",NA,NA,3,1179,"",20,"202",10.8,6.9,3,2361,"",28.5,"117",17.6,16.4,NA,NA,"","","",NA,NA,NA,"","DF","SP",""
"977","13","442",NA,"",NA,"",NA,NA,4,1180,"",21.5,"202",14.3,7.7,4,2362,"",20.1,"202",9.7,9.2,NA,NA,"","","",NA,NA,NA,"","DF","DF",""
"978","13","442",NA,"",NA,"",NA,NA,5,1181,"",27,"122",22.4,10.5,5,2363,"",20.4,"202",13,9.2,NA,NA,"","","",NA,NA,NA,"","PP","DF",""
"979","13","442",NA,"",NA,"",NA,NA,6,1182,"",48,"122",27,15.5,6,2364,"",27.2,"122",22.2,15.2,NA,NA,"","","",NA,NA,NA,"","PP","PP",""
"980","13","442",NA,"",NA,"",NA,NA,7,1183,"",35.5,"202",19.7,11.7,7,2365,"",22.9,"202",14.3,10.7,NA,NA,"","","",NA,NA,NA,"","DF","DF",""
"981","13","442",NA,"",NA,"",NA,NA,8,1184,"",22.5,"202",15.1,11.5,8,2366,"",34.5,"202",18.4,9.2,NA,NA,"","","",NA,NA,NA,"","DF","DF",""
"982","13","442",NA,"",NA,"",NA,NA,9,1185,"",53,"122",22.7,12.7,9,2367,"",45.9,"122",27.6,12.3,NA,NA,"","","",NA,NA,NA,"","PP","PP",""
"983","13","442",NA,"",NA,"",NA,NA,10,1186,"",12.5,"202",8.2,5.2,10,2368,"",25.9,"122",10.8,6.9,NA,NA,"","","",NA,NA,NA,"","DF","PP",""
"984","13","442",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,11,2369,"",21.3,"122",9.7,6.5,NA,NA,"","","",NA,NA,NA,"","","PP",""
"985","13","452",NA,"",NA,"",NA,NA,1,1187,"",19.5,"818",12.1,9.9,1,2370,"",19.8,"818",13.9,11.3,NA,NA,"","","",NA,NA,NA,"","BO","BO",""
"986","13","452",NA,"",NA,"",NA,NA,2,1188,"",41.5,"202",24.4,18.7,2,2371,"",18.6,"015",11.6,10.5,NA,NA,"","","",NA,NA,NA,"","DF","WF",""
"987","13","452",NA,"",NA,"",NA,NA,3,1189,"",44,"202",28,17.3,3,2372,"",44.1,"202",26.3,18.6,NA,NA,"","","",NA,NA,NA,"","DF","DF",""
"988","13","452",NA,"",NA,"",NA,NA,4,1190,"",49,"202",31,21.6,4,2373,"",30.4,"818",16,9.6,NA,NA,"","","",NA,NA,NA,"","DF","BO",""
"989","13","452",NA,"",NA,"",NA,NA,5,1191,"",52.5,"15",28.9,16.6,5,2374,"",24.1,"818",13.2,8,NA,NA,"","","",NA,NA,NA,"","WF","BO",""
"990","13","452",NA,"",NA,"",NA,NA,6,1192,"",72.5,"117",37.1,14.2,6,2375,"",19.5,"015",11.3,5.3,NA,NA,"","","",NA,NA,NA,"","SP","WF",""
"991","13","452",NA,"",NA,"",NA,NA,7,1193,"",48,"15",23.9,14.9,7,2376,"",49.1,"202",29.9,14.3,NA,NA,"","","",NA,NA,NA,"","WF","DF",""
"992","13","452",NA,"",NA,"",NA,NA,8,1194,"",42.5,"15",26.6,13.6,8,2377,"",48.2,"015",23.9,11.4,NA,NA,"","","",NA,NA,NA,"","WF","WF",""
"993","13","452",NA,"",NA,"",NA,NA,9,1195,"",57.5,"202",30.6,22,9,2378,"",17.1,"081",7.3,5.6,NA,NA,"","","",NA,NA,NA,"","DF","IC",""
"994","13","452",NA,"",NA,"",NA,NA,10,1196,"",19,"202",12,7.6,10,2379,"",41.1,"202",37.7,18.7,NA,NA,"","","",NA,NA,NA,"","DF","DF",""
"995","13","452",NA,"",NA,"",NA,NA,11,1197,"",11.5,"81",8.4,3.6,11,2380,"",31.4,"202",24.9,11.9,NA,NA,"","","",NA,NA,NA,"","IC","DF",""
"996","13","452",NA,"",NA,"",NA,NA,12,1198,"",31,"818",13.8,10.1,12,2381,"",17.9,"818",12.3,6.7,NA,NA,"","","",NA,NA,NA,"","BO","BO",""
"997","13","452",NA,"",NA,"",NA,NA,13,1199,"",12.5,"202",7.2,3.5,13,2382,"",16.6,"818",9.6,7.5,NA,NA,"","","",NA,NA,NA,"","DF","BO",""
"998","13","452",NA,"",NA,"",NA,NA,14,1200,"",24.5,"818",13.6,5.9,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","BO","",""
"999","13","452",NA,"",NA,"",NA,NA,15,1201,"",13.5,"202",7,3.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1000","13","452",NA,"",NA,"",NA,NA,16,1202,"",12,"81",13.1,5.1,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"1001","13","452",NA,"",NA,"",NA,NA,17,1203,"",12,"81",6.6,1.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"1002","13","452",NA,"",NA,"",NA,NA,18,1204,"",13,"81",3.5,0.1,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"1003","13","452",NA,"",NA,"",NA,NA,19,1205,"",18,"81",6.7,4.1,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"1004","13","452",NA,"",NA,"",NA,NA,20,1206,"",14,"202",13.9,7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1005","13","452",NA,"",NA,"",NA,NA,21,1207,"",32,"15",22.3,8.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","WF","",""
"1006","13","452",NA,"",NA,"",NA,NA,22,1208,"",18,"818",8.6,4,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","BO","",""
"1007","13","452",NA,"",NA,"",NA,NA,23,1209,"",20,"202",12.6,4.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1008","13","452",NA,"",NA,"",NA,NA,24,1210,"",16.5,"818",8,3.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","BO","",""
"1009","20","469",NA,"",NA,"",NA,NA,1,1211,"",53,"122",18.4,12.4,1,2383,"",51.4,"122",18.3,18.3,NA,NA,"","","",NA,NA,NA,"","PP","PP",""
"1010","20","469",NA,"",NA,"",NA,NA,2,1212,"",47.5,"122",31.2,25.2,2,2384,"",34.7,"117",17.6,10.6,NA,NA,"","","",NA,NA,NA,"","PP","SP",""
"1011","20","469",NA,"",NA,"",NA,NA,3,1213,"",58,"202",18.4,12.5,3,2385,"",45.3,"117",16.2,12.8,NA,NA,"","","",NA,NA,NA,"","DF","SP",""
"1012","20","469",NA,"",NA,"",NA,NA,4,1214,"",45.5,"117",18.6,16.5,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","SP","",""
"1013","20","469",NA,"",NA,"",NA,NA,5,1215,"",34.5,"122",25,14.5,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","PP","",""
"1014","20","478",NA,"",NA,"",NA,NA,1,1216,"",67,"15",39.5,28.9,1,2386,"",34.9,"818",19.1,15.7,NA,NA,"","","",NA,NA,NA,"","WF","BO",""
"1015","20","478",NA,"",NA,"",NA,NA,2,1217,"",79,"202",43.3,29.1,2,2387,"y",28,"snag",13.5,NA,NA,NA,"","","",NA,NA,NA,"","DF","snag",""
"1016","20","478",NA,"",NA,"",NA,NA,3,1218,"",49.5,"15",24.8,18.1,3,2388,"",49.5,"015",23.7,16.1,NA,NA,"","","",NA,NA,NA,"","WF","WF",""
"1017","20","478",NA,"",NA,"",NA,NA,4,1219,"",15.5,"202",3.7,2.4,4,2389,"",22.6,"015",11.3,9.4,NA,NA,"","","",NA,NA,NA,"","DF","WF",""
"1018","20","478",NA,"",NA,"",NA,NA,5,1220,"",89,"15",44.2,29.6,5,2390,"",86.5,"202",41.5,34.7,NA,NA,"","","",NA,NA,NA,"","WF","DF",""
"1019","20","478",NA,"",NA,"",NA,NA,6,1221,"",101,"15",47.4,35.1,6,2391,"",86.6,"202",46,40.1,NA,NA,"","","",NA,NA,NA,"","WF","DF",""
"1020","20","478",NA,"",NA,"",NA,NA,7,1222,"",19,"202",10.9,7.9,7,2392,"",71.6,"202",34.2,27.1,NA,NA,"","","",NA,NA,NA,"","DF","DF",""
"1021","20","478",NA,"",NA,"",NA,NA,8,1223,"",109,"117",35.9,29.2,8,2393,"",66,"202",24.7,17.7,NA,NA,"","","",NA,NA,NA,"","SP","DF",""
"1022","20","478",NA,"",NA,"",NA,NA,9,1224,"",69,"202",44.7,26.9,9,2394,"",15.3,"818",12.5,9.2,NA,NA,"","","",NA,NA,NA,"","DF","BO",""
"1023","20","478",NA,"",NA,"",NA,NA,10,1225,"",62.5,"81",36.4,16.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"1024","20","478",NA,"",NA,"",NA,NA,11,1226,"",20,"202",11.8,10.4,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1025","20","478",NA,"",NA,"",NA,NA,12,1227,"",22,"202",16.5,5.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1026","20","478",NA,"",NA,"",NA,NA,13,1228,"",28.5,"202",17.5,0,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1027","20","478",NA,"",NA,"",NA,NA,14,1229,"",24.5,"202",19.1,17.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1028","20","480",NA,"",NA,"",NA,NA,1,1230,"",9.5,"818",7.1,6,1,2395,"",36.9,"015",18.4,12.4,NA,NA,"","","",NA,NA,NA,"","BO","WF",""
"1029","20","480",NA,"",NA,"",NA,NA,2,1231,"",102,"122",34.8,0,2,2396,"",36.7,"015",23,13.2,NA,NA,"","","",NA,NA,NA,"","PP","WF",""
"1030","20","480",NA,"",NA,"",NA,NA,3,1232,"",35,"15",19.9,16.6,3,2397,"",38.7,"015",23.4,12.1,NA,NA,"","","",NA,NA,NA,"","WF","WF",""
"1031","20","480",NA,"",NA,"",NA,NA,4,1233,"",25,"15",17.8,13.8,4,2398,"",22.3,"015",17.8,10.3,NA,NA,"","","",NA,NA,NA,"","WF","WF",""
"1032","20","480",NA,"",NA,"",NA,NA,5,1234,"",19,"15",10.1,5.3,5,2399,"",13.8,"818",11.9,6.3,NA,NA,"","","",NA,NA,NA,"","WF","BO",""
"1033","20","480",NA,"",NA,"",NA,NA,6,1235,"",12,"15",10.1,5.3,6,2400,"",16.1,"818",12,8.2,NA,NA,"","","",NA,NA,NA,"","WF","BO",""
"1034","20","480",NA,"",NA,"",NA,NA,7,1236,"",7.5,"15",5.3,2.4,7,2401,"",36.7,"122",22.3,17,NA,NA,"","","",NA,NA,NA,"","WF","PP",""
"1035","20","480",NA,"",NA,"",NA,NA,8,1237,"",9.5,"15",11.6,5.3,8,2402,"",31.1,"015",14.1,10,NA,NA,"","","",NA,NA,NA,"","WF","WF",""
"1036","20","480",NA,"",NA,"",NA,NA,9,1238,"",14,"15",10,8.1,9,2403,"",11.7,"818",7.4,4.2,NA,NA,"","","",NA,NA,NA,"","WF","BO",""
"1037","20","480",NA,"",NA,"",NA,NA,10,1239,"",20.5,"202",15.7,7.4,10,2404,"y",35.1,"snag",21.5,NA,NA,NA,"","","",NA,NA,NA,"","DF","snag",""
"1038","20","480",NA,"",NA,"",NA,NA,11,1240,"",8.5,"15",10.4,3.4,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","WF","",""
"1039","20","480",NA,"",NA,"",NA,NA,12,1241,"",12,"15",15,7.5,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","WF","",""
"1040","20","480",NA,"",NA,"",NA,NA,13,1242,"",11,"15",10.6,3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","WF","",""
"1041","20","480",NA,"",NA,"",NA,NA,14,1243,"",12.5,"15",12,5,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","WF","",""
"1042","20","480",NA,"",NA,"",NA,NA,15,1244,"",21.5,"15",14.2,3.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","WF","",""
"1043","20","480",NA,"",NA,"",NA,NA,16,1245,"",11.5,"818",6.4,2.9,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","BO","",""
"1044","40","501",NA,"",NA,"",NA,NA,1,1246,"y",63,"202",4.3,0,1,2405,"",15.9,"015",10.2,7.6,NA,NA,"","","",NA,NA,NA,"","DF","WF",""
"1045","40","501",NA,"",NA,"",NA,NA,2,1247,"",27.5,"122",16.5,10,2,2406,"",73.6,"122",37.8,23.3,NA,NA,"","","",NA,NA,NA,"","PP","PP",""
"1046","40","501",NA,"",NA,"",NA,NA,3,1248,"",80,"122",38.9,27,3,2407,"",39.6,"081",19.9,9.3,NA,NA,"","","",NA,NA,NA,"","PP","IC",""
"1047","40","501",NA,"",NA,"",NA,NA,4,1249,"",104,"117",44.1,29.4,4,2408,"",59.8,"202",29.4,17.2,NA,NA,"","","",NA,NA,NA,"","SP","DF",""
"1048","40","501",NA,"",NA,"",NA,NA,5,1250,"",73,"122",37.8,22.1,5,2409,"",12.9,"202",8.5,6,NA,NA,"","","",NA,NA,NA,"","PP","DF",""
"1049","40","501",NA,"",NA,"",NA,NA,6,1251,"",60.5,"202",33.1,20.7,6,2410,"",52.4,"122",26.2,9.7,NA,NA,"","","",NA,NA,NA,"","DF","PP",""
"1050","40","501",NA,"",NA,"",NA,NA,7,1252,"",52.5,"122",29.2,11.7,7,2411,"",20.5,"015",8.5,5.5,NA,NA,"","","",NA,NA,NA,"","PP","WF",""
"1051","40","501",NA,"",NA,"",NA,NA,8,1253,"",84,"117",9,7.8,8,2412,"",14.6,"202",9.3,8.4,NA,NA,"","","",NA,NA,NA,"","SP","DF",""
"1052","40","501",NA,"",NA,"",NA,NA,9,1254,"",20.5,"202",38.1,25.4,9,2413,"",27.7,"122",17,10.9,NA,NA,"","","",NA,NA,NA,"","DF","PP",""
"1053","40","501",NA,"",NA,"",NA,NA,10,1255,"",61,"81",29.2,24,10,2414,"",23.5,"081",11.3,8.6,NA,NA,"","","",NA,NA,NA,"","IC","IC",""
"1054","40","501",NA,"",NA,"",NA,NA,11,1256,"",68.5,"117",39.1,25.1,11,2415,"",11.1,"081",4.2,3.9,NA,NA,"","","",NA,NA,NA,"","SP","IC",""
"1055","40","501",NA,"",NA,"",NA,NA,12,1257,"",16.5,"202",10.9,8.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1056","40","501",NA,"",NA,"",NA,NA,13,1258,"",23.5,"81",12.8,9.4,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"1057","40","501",NA,"",NA,"",NA,NA,14,1259,"",11.5,"81",4.6,3.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"1058","40","501",NA,"",NA,"",NA,NA,15,1260,"",15.5,"202",11.6,7.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1059","40","501",NA,"",NA,"",NA,NA,16,1261,"",28.5,"202",20.1,13.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1060","40","501",NA,"",NA,"",NA,NA,17,1262,"",39.5,"81",23.9,12,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"1061","40","501",NA,"",NA,"",NA,NA,18,1263,"",13,"202",10.4,6.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1062","40","501",NA,"",NA,"",NA,NA,19,1264,"",15,"202",9.9,7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1063","16","502",NA,"",NA,"",NA,NA,1,1265,"",37.5,"818",16.4,12.7,1,2416,"",43.4,"081",15,11.2,NA,NA,"","","",NA,NA,NA,"","BO","IC",""
"1064","16","502",NA,"",NA,"",NA,NA,2,1266,"",30,"117",17.7,13.4,2,2417,"",20.1,"818",7.7,6.1,NA,NA,"","","",NA,NA,NA,"","SP","BO",""
"1065","16","502",NA,"",NA,"",NA,NA,3,1267,"",41,"202",20.2,11.4,3,2418,"",24,"818",12.7,10.9,NA,NA,"","","",NA,NA,NA,"","DF","BO",""
"1066","16","502",NA,"",NA,"",NA,NA,4,1268,"",29.5,"818",13,7.7,4,2419,"",37.6,"818",16.4,11.7,NA,NA,"","","",NA,NA,NA,"","BO","BO",""
"1067","16","502",NA,"",NA,"",NA,NA,5,1269,"",23.5,"202",13.2,8.7,5,2420,"",32.3,"117",17,12.2,NA,NA,"","","",NA,NA,NA,"","DF","SP",""
"1068","16","502",NA,"",NA,"",NA,NA,6,1270,"",42.5,"81",16,9.9,6,2421,"",21.6,"202",14.3,11.2,NA,NA,"","","",NA,NA,NA,"","IC","DF",""
"1069","16","502",NA,"",NA,"",NA,NA,7,1271,"",14.5,"202",9.7,8,7,2422,"",29.7,"818",15.7,11.3,NA,NA,"","","",NA,NA,NA,"","DF","BO",""
"1070","16","502",NA,"",NA,"",NA,NA,8,1272,"",17.5,"117",7.6,4.7,8,2423,"",23.8,"202",12.7,8.9,NA,NA,"","","",NA,NA,NA,"","SP","DF",""
"1071","16","502",NA,"",NA,"",NA,NA,9,1273,"",22,"818",6.9,5.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","BO","",""
"1072","16","502",NA,"",NA,"",NA,NA,10,1274,"",24,"818",12.7,9.5,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","BO","",""
"1073","16","502",NA,"",NA,"",NA,NA,11,1275,"",25,"818",10.8,5.8,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","BO","",""
"1074","16","502",NA,"",NA,"",NA,NA,12,1276,"",21,"117",12.4,7.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","SP","",""
"1075","16","502",NA,"",NA,"",NA,NA,13,1277,"",13,"202",8.7,7.8,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1076","105","503",NA,"",NA,"",NA,NA,1,1278,"",30,"81",14.1,11.7,1,2424,"",30,"081",14.2,13.2,1,2869,"","17.8","818",15.61388369,14.9,NA,"","IC","IC","BO"
"1077","105","503",NA,"",NA,"",NA,NA,2,1279,"",56.5,"15",25.1,22.3,2,2425,"",38,"202",22.7,18.1,2,2870,"","28.7","202",23.06155266,23.1,NA,"","WF","DF","DF"
"1078","105","503",NA,"",NA,"",NA,NA,3,1280,"",27.5,"202",16,14.3,3,2426,"",17.6,"818",15.1,13,3,2871,"","32.4","818",16.90284675,16.3,NA,"","DF","BO","BO"
"1079","105","503",NA,"",NA,"",NA,NA,4,1281,"",41,"202",23.2,15.5,4,2427,"",15.4,"818",7.3,6.6,4,2872,"","15.9","818",10.08351985,9.5,NA,"","DF","BO","BO"
"1080","105","503",NA,"",NA,"",NA,NA,5,1282,"",37,"818",21.4,16,5,2428,"",22.7,"818",12.4,12.1,5,2873,"","12.5","818",9.449808866,8.8,NA,"","BO","BO","BO"
"1081","105","503",NA,"",NA,"",NA,NA,6,1283,"",32,"202",18.9,17.1,6,2429,"",36.5,"202",23.8,22.9,6,2874,"Y","11.8","818",8.83047275,NA,NA,"","DF","DF","BO"
"1082","105","503",NA,"",NA,"",NA,NA,7,1284,"",7.5,"122",4.3,3.2,7,2430,"",19.7,"202",14.7,13.9,7,2875,"","37.3","202",23.96517511,23,NA,"","PP","DF","DF"
"1083","105","503",NA,"",NA,"",NA,NA,8,1285,"",18.5,"818",15.3,10.5,8,2431,"",14.6,"818",7.2,7.1,8,2876,"Y","16.2","818",6.701013499,NA,NA,"","BO","BO","BO"
"1084","105","503",NA,"",NA,"",NA,NA,9,1286,"",11,"81",6.4,6.1,9,2432,"",11.9,"818",13.5,13,9,2877,"Y","23.9","818",42.8383962,NA,NA,"","IC","BO","BO"
"1085","105","503",NA,"",NA,"",NA,NA,10,1287,"",10,"818",11.4,7.6,10,2433,"",22.9,"818",10.2,9.5,10,2878,"","36.9","202",20.6748829,20.7,NA,"","BO","BO","DF"
"1086","105","503",NA,"",NA,"",NA,NA,11,1288,"",14,"122",6.8,5.2,11,2434,"",47.1,"122",24.6,23.5,11,2879,"","26.2","818",12.10933724,9.9,NA,"","PP","PP","BO"
"1087","105","503",NA,"",NA,"",NA,NA,12,1289,"",12,"122",5.3,3.6,12,2435,"",41,"202",23.2,22.4,12,2880,"","51.7","122",22.08957431,20.9,NA,"","PP","DF","PP"
"1088","105","503",NA,"",NA,"",NA,NA,13,1290,"",11,"122",4.6,3.3,13,2436,"",21.8,"818",9.8,9.3,13,2881,"Y","20","202",15.20821246,NA,NA,"","PP","BO","DF"
"1089","105","503",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,14,2437,"",31,"202",17.2,15.7,14,2882,"","11.5","818",12.36976753,11.7,NA,"","","DF","BO"
"1090","105","503",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,15,2883,"","15","818",18.11779906,18.1,NA,"","","","BO"
"1091","105","503",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,16,2884,"","33.8","202",16.57961984,16.6,NA,"","","","DF"
"1092","65","504'",NA,"",NA,"",NA,NA,1,1291,"",11.5,"122",6.2,3.5,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","PP","",""
"1093","65","504'",NA,"",NA,"",NA,NA,2,1292,"",8,"122",4.6,3.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","PP","",""
"1094","65","504'",NA,"",NA,"",NA,NA,3,1293,"",9,"122",4.8,3.1,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","PP","",""
"1095","65","504'",NA,"",NA,"",NA,NA,4,1294,"",11,"122",5.2,0.1,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","PP","",""
"1096","65","504'",NA,"",NA,"",NA,NA,5,1295,"",40,"202",18.6,14.9,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1097","65","504'",NA,"",NA,"",NA,NA,6,1296,"",12,"202",9.1,7.9,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"1098","65","504'",NA,"",NA,"",NA,NA,7,1297,"",12.5,"202",9.1,8.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
